customer_id,age,income,city,tenure,purchased
1,24,81320.0,Mumbai,9,1
2,55,63141.0,Pune,5,1
3,49,56827.0,Delhi,0,0
4,40,39287.0,Delhi,1,0
5,40,26506.0,Mumbai,4,0
6,58,50274.0,Bangalore,0,0
7,24,,Bangalore,7,0
8,51,95359.0,Mumbai,11,1
9,29,62605.0,Pune,14,1
10,25,79655.0,Mumbai,7,1
11,44,50014.0,Delhi,13,1
12,63,36301.0,Delhi,14,0
13,53,40698.0,Pune,12,0
14,54,45495.0,Delhi,6,1
15,52,102569.0,Pune,4,0
16,55,43572.0,Mumbai,14,1
17,43,76770.0,Delhi,3,1
18,26,41941.0,Mumbai,6,0
19,57,78631.0,Bangalore,1,1
20,40,67699.0,Mumbai,11,1
21,43,56867.0,Pune,9,1
22,37,59185.0,Bangalore,1,0
23,29,46904.0,Mumbai,3,0
24,61,68921.0,Bangalore,8,1
25,55,50900.0,Pune,8,1
26,49,35488.0,Mumbai,12,1
27,38,34441.0,Delhi,3,1
28,57,63452.0,Mumbai,13,1
29,44,91582.0,Pune,6,1
30,40,63200.0,Delhi,12,1
31,40,57627.0,Pune,3,1
32,30,65717.0,Bangalore,0,0
33,25,86120.0,Bangalore,0,0
34,45,64388.0,Mumbai,5,0
35,60,51781.0,Pune,14,1
36,23,82126.0,Delhi,0,0
37,58,68575.0,Mumbai,5,1
38,57,90715.0,Mumbai,1,1
39,33,63665.0,Mumbai,13,1
40,48,35511.0,Mumbai,10,0
41,28,32637.0,Delhi,11,1
42,54,93019.0,Delhi,10,1
43,51,94473.0,Delhi,9,0
44,36,56410.0,Bangalore,11,1
45,23,52336.0,Mumbai,0,1
46,63,89229.0,Bangalore,12,0
47,40,37859.0,Bangalore,11,1
48,60,42105.0,Bangalore,11,1
49,50,72867.0,Bangalore,5,0
50,55,52108.0,Bangalore,12,0
51,54,59898.0,Bangalore,5,1
52,29,56731.0,Bangalore,0,0
53,37,,Bangalore,13,1
54,41,88150.0,Mumbai,3,1
55,42,61812.0,Delhi,1,0
56,22,72879.0,Pune,9,1
57,45,18997.0,Mumbai,3,0
58,27,59026.0,Bangalore,12,0
59,53,43135.0,Delhi,6,1
60,51,35624.0,Mumbai,0,0
61,61,42437.0,Bangalore,14,1
62,53,53318.0,Bangalore,7,0
63,37,78318.0,Bangalore,3,1
64,63,33472.0,Mumbai,10,0
65,39,60613.0,Pune,7,1
66,35,50317.0,Bangalore,0,0
67,60,53447.0,Pune,11,1
68,37,80055.0,Bangalore,6,1
69,24,70762.0,Bangalore,10,1
70,41,86748.0,Pune,13,1
71,56,56910.0,Delhi,9,0
